1,1,Chips and Fresh Tomato Salsa,,2.39,2018-01-04
1,1,Izze,[Clementine],3.39,2018-01-04
1,1,Nantucket Nectar,[Apple],3.39,2018-01-04
1,1,Chips and Tomatillo-Green Chili Salsa,,2.39,2018-01-04
2,2,Chicken Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream]]",16.98,2018-01-16
3,1,Chicken Bowl,"[Fresh Tomato Salsa (Mild), [Rice, Cheese, Sour Cream, Guacamole, Lettuce]]",10.98,2018-01-24
3,1,Side of Chips,,1.69,2018-01-24
4,1,Steak Burrito,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.75,2018-01-09
4,1,Steak Soft Tacos,"[Tomatillo Green Chili Salsa, [Pinto Beans, Cheese, Sour Cream, Lettuce]]",9.25,2018-01-09
5,1,Steak Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Lettuce]]",9.25,2018-01-08
5,1,Chips and Guacamole,,4.45,2018-01-08
6,1,Chicken Crispy Tacos,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream]]",8.75,2018-01-25
6,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",8.75,2018-01-25
7,1,Chicken Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole]]",11.25,2018-01-11
7,1,Chips and Guacamole,,4.45,2018-01-11
8,1,Chips and Tomatillo-Green Chili Salsa,,2.39,2018-01-13
8,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Cheese, Sour Cream]]",8.49,2018-01-13
9,1,Chicken Burrito,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]",8.49,2018-01-06
9,2,Canned Soda,[Sprite],2.18,2018-01-06
10,1,Chicken Bowl,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce]]",8.75,2018-01-07
10,1,Chips and Guacamole,,4.45,2018-01-07
11,1,Barbacoa Burrito,"[[Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Rice, Cheese, Sour Cream, Lettuce]]",8.99,2018-01-29
11,1,Nantucket Nectar,[Pomegranate Cherry],3.39,2018-01-29
12,1,Chicken Burrito,"[[Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Pinto Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]",10.98,2018-01-14
12,1,Izze,[Grapefruit],3.39,2018-01-14
13,1,Chips and Fresh Tomato Salsa,,2.39,2018-01-14
13,1,Chicken Bowl,"[Roasted Chili Corn Salsa (Medium), [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",8.49,2018-01-14
14,1,Carnitas Burrito,"[[Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium)], [Black Beans, Rice, Sour Cream, Lettuce]]",8.99,2018-01-10
14,1,Canned Soda,[Dr. Pepper],1.09,2018-01-10
15,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]",8.49,2018-01-09
15,1,Chips and Tomatillo-Green Chili Salsa,,2.39,2018-01-09
16,1,Steak Burrito,"[[Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild)], [Rice, Black Beans, Sour Cream]]",8.99,2018-01-12
16,1,Side of Chips,,1.69,2018-01-12
17,1,Carnitas Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",8.99,2018-01-14
17,1,Bottled Water,,1.09,2018-01-14
18,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, Rice]",8.75,2018-01-17
18,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, [Cheese, Lettuce]]",8.75,2018-01-17
18,1,Chips and Guacamole,,4.45,2018-01-17
18,1,Chips and Tomatillo Green Chili Salsa,,2.95,2018-01-17
19,1,Barbacoa Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.75,2018-01-13
19,1,Chips,,2.15,2018-01-13
20,1,Chips and Guacamole,,4.45,2018-01-14
20,1,Chicken Bowl,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.25,2018-01-14
20,1,Steak Burrito,"[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.75,2018-01-14
20,1,Chicken Salad Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Pinto Beans, Lettuce]]",8.75,2018-01-14
21,1,Chicken Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]",10.98,2018-01-19
21,1,Steak Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Rice, Fajita Veggies, Cheese]]",8.99,2018-01-19
21,1,Izze,[Blackberry],3.39,2018-01-19
22,1,Steak Burrito,"[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Sour Cream]]",8.99,2018-01-27
22,1,Chips and Guacamole,,3.99,2018-01-27
23,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",8.99,2018-01-15
23,2,Canned Soda,[Mountain Dew],2.18,2018-01-15
